sku,asin,product_title,effective_from,effective_to,price,currency,change_type
SKU-0096,B0UX1US6RV,PawPals Cat Scratching Post — Durable & Non-Toxic,2023-06-29,2026-07-31,34.97,USD,Launch Price
SKU-0097,B0F635F86R,PawPals Dog Chew Toys — Durable & Easy to Clean,2023-05-18,2026-07-31,21.36,USD,Launch Price
SKU-0098,B03ZGX0DF9,PawPals Catnip Toys — Easy to Clean & Non-Toxic,2023-03-30,2026-07-31,48.23,USD,Launch Price
SKU-0099,B0PXWSPMXC,PawPals Cat Litter Mat — Durable & Easy to Clean,2023-11-11,2024-07-01,38.71,USD,Launch Price
SKU-0099,B0PXWSPMXC,PawPals Cat Litter Mat — Durable & Easy to Clean,2024-07-02,2026-07-31,34.73,USD,Promotional Discount
SKU-0100,B0TURPLSHH,PawPals Automatic Pet Feeder — Easy to Clean & Vet Recommended,2024-04-27,2026-07-31,43.13,USD,Launch Price
SKU-0101,B0HTFHF1FT,LittleNest Silicone Bibs — Hypoallergenic & Safety Certified,2024-05-15,2026-07-31,61.11,USD,Launch Price
SKU-0102,B02X1DSSZM,LittleNest Diaper Bag — Hypoallergenic & Easy to Clean,2023-03-03,2026-07-31,13.44,USD,Launch Price
SKU-0103,B04ZD4ZURZ,LittleNest Baby Monitor — Safety Certified & Hypoallergenic,2024-10-31,2026-07-31,31.9,USD,Launch Price
SKU-0104,B01NLXW82L,LittleNest Bassinet — Safety Certified & BPA-Free,2025-01-12,2026-07-31,24.09,USD,Launch Price
SKU-0105,B04Z7XKKST,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,2025-06-03,2025-09-12,54.16,USD,Launch Price
SKU-0105,B04Z7XKKST,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,2025-09-13,2025-10-23,47.89,USD,Promotional Discount
SKU-0105,B04Z7XKKST,LittleNest Swaddle Blankets — BPA-Free & Safety Certified,2025-10-24,2026-07-31,54.16,USD,Price Increase
SKU-0106,B0EGZYNSAE,LittleNest Baby Bath Tub — Hypoallergenic & Safety Certified,2023-06-29,2024-06-29,27.32,USD,Launch Price
SKU-0106,B0EGZYNSAE,LittleNest Baby Bath Tub — Hypoallergenic & Safety Certified,2024-06-30,2026-07-31,25.43,USD,Promotional Discount
SKU-0107,B0YJ486MXU,LittleNest Baby Safety Gate — Safety Certified & BPA-Free,2023-03-01,2026-07-31,60.8,USD,Launch Price
SKU-0108,B0QKGVBY0X,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2025-04-03,2026-01-31,32.0,USD,Launch Price
SKU-0108,B0QKGVBY0X,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2026-02-01,2026-03-21,24.13,USD,Promotional Discount
SKU-0108,B0QKGVBY0X,LittleNest Baby Bottle Set — BPA-Free & Hypoallergenic,2026-03-22,2026-07-31,32.0,USD,Price Increase
SKU-0109,B0FTQRA6A1,DriveGuard Dash Cam — Heavy Duty & Easy Install,2024-06-09,2024-09-20,30.93,USD,Launch Price
SKU-0109,B0FTQRA6A1,DriveGuard Dash Cam — Heavy Duty & Easy Install,2024-09-21,2024-11-08,27.12,USD,Promotional Discount
SKU-0109,B0FTQRA6A1,DriveGuard Dash Cam — Heavy Duty & Easy Install,2024-11-09,2026-07-31,30.93,USD,Price Increase
SKU-0110,B0YBRGQRFQ,DriveGuard Car Vacuum — Long Cord & Easy Install,2024-05-26,2025-06-30,18.37,USD,Launch Price
SKU-0110,B0YBRGQRFQ,DriveGuard Car Vacuum — Long Cord & Easy Install,2025-07-01,2025-08-02,16.09,USD,Promotional Discount
SKU-0110,B0YBRGQRFQ,DriveGuard Car Vacuum — Long Cord & Easy Install,2025-08-03,2026-07-31,18.37,USD,Price Increase
SKU-0111,B02T104M25,DriveGuard Jump Starter — Long Cord & Universal Fit,2023-02-04,2024-12-21,60.42,USD,Launch Price
SKU-0111,B02T104M25,DriveGuard Jump Starter — Long Cord & Universal Fit,2024-12-22,2026-07-31,55.67,USD,Promotional Discount
SKU-0112,B0J9HPEX6X,DriveGuard Tire Pressure Gauge — Long Cord & Heavy Duty,2024-06-26,2025-07-20,36.82,USD,Launch Price
SKU-0112,B0J9HPEX6X,DriveGuard Tire Pressure Gauge — Long Cord & Heavy Duty,2025-07-21,2026-07-31,34.7,USD,Promotional Discount
SKU-0113,B0PAU2ZN1D,DriveGuard Car Organizer — Heavy Duty & Easy Install,2024-08-01,2024-11-28,24.69,USD,Launch Price
SKU-0113,B0PAU2ZN1D,DriveGuard Car Organizer — Heavy Duty & Easy Install,2024-11-29,2024-12-21,20.57,USD,Promotional Discount
SKU-0113,B0PAU2ZN1D,DriveGuard Car Organizer — Heavy Duty & Easy Install,2024-12-22,2026-07-31,24.69,USD,Price Increase
SKU-0114,B0ZWX7WPK9,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2024-08-02,2025-12-30,19.42,USD,Launch Price
SKU-0114,B0ZWX7WPK9,DriveGuard Seat Covers — Universal Fit & Heavy Duty,2025-12-31,2026-07-31,20.72,USD,Price Increase
SKU-0115,B0KKUPJDRS,ProGrip LED Work Light — Cordless & High Torque,2023-03-20,2026-07-31,57.78,USD,Launch Price
SKU-0116,B0S19ZGCXE,EverPeak Screwdriver Set — Cordless & High Torque,2024-09-01,2026-07-31,46.08,USD,Launch Price
SKU-0117,B0A30AC946,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,2023-06-07,2024-02-13,17.72,USD,Launch Price
SKU-0117,B0A30AC946,ProGrip Stud Finder — Ergonomic Grip & Rust Resistant,2024-02-14,2026-07-31,19.86,USD,Price Increase
SKU-0118,B09D2WWZK5,EverPeak Cordless Drill — Cordless & High Torque,2025-06-03,2026-01-31,18.98,USD,Launch Price
SKU-0118,B09D2WWZK5,EverPeak Cordless Drill — Cordless & High Torque,2026-02-01,2026-03-26,17.07,USD,Promotional Discount
SKU-0118,B09D2WWZK5,EverPeak Cordless Drill — Cordless & High Torque,2026-03-27,2026-07-31,18.98,USD,Price Increase
SKU-0119,B088ML63AY,ProGrip Socket Set — Rust Resistant & Ergonomic Grip,2025-03-12,2025-06-02,23.37,USD,Launch Price
SKU-0119,B088ML63AY,ProGrip Socket Set — Rust Resistant & Ergonomic Grip,2025-06-03,2025-07-24,19.33,USD,Promotional Discount
SKU-0119,B088ML63AY,ProGrip Socket Set — Rust Resistant & Ergonomic Grip,2025-07-25,2026-07-31,23.37,USD,Price Increase
SKU-0120,B0LPG6DAQM,EverPeak Tool Bag — Rust Resistant & Ergonomic Grip,2023-05-20,2024-09-29,38.1,USD,Launch Price
SKU-0120,B0LPG6DAQM,EverPeak Tool Bag — Rust Resistant & Ergonomic Grip,2024-09-30,2024-10-23,30.08,USD,Promotional Discount
SKU-0120,B0LPG6DAQM,EverPeak Tool Bag — Rust Resistant & Ergonomic Grip,2024-10-24,2026-07-31,38.1,USD,Price Increase
